org_name,org_url,platform,repo_count,页签,项目名称,分类,上游地址,description,blog,location,public_repos,source
InfluxData,https://github.com/influxdata,github.com,2,鲲鹏,InfluxDB;Telegraf,"基础库&加速库,数据库",,,https://influxdata.com,United States of America,216,repo_known_org.csv
Intel® Corporation,https://github.com/intel,github.com,2,鲲鹏,Hyperscan;ISA-L,基础库&加速库,,,,,1327,"repo_known_org.csv,repo_unknown_org.csv"
InternLM,https://github.com/InternLM,github.com,2,昇腾,InternLM;xtuner,"推理加速,训练加速",,,https://chat.intern-ai.org.cn/,China,46,repo_known_org.csv
Kim Lab at UT Southwestern Medical Center,https://github.com/DaehwanKimLab,github.com,2,鲲鹏,centrifuge;HISAT2,HPC,,,https://kim-lab.org,,17,repo_known_org.csv
Kubernetes,https://github.com/kubernetes,github.com,2,"昇腾,鲲鹏",Kubernetes DRA;Kubernetes,"推理加速,虚拟化",,Production-Grade Container Scheduling and Management,https://kubernetes.io,,80,repo_known_org.csv
LLVM,https://github.com/llvm,github.com,2,鲲鹏,Clang;LLVM,"ARM应用支持,基础库&加速库",,This is the LLVM organization on GitHub for the LLVM Project: a collection of modular and reusable compiler and toolchain technologies.,https://llvm.org,,43,"repo_known_org.csv,repo_unknown_org.csv"
Lawrence Livermore National Laboratory,https://github.com/llnl,github.com,2,鲲鹏,AMG;sundials,"HPC,基础库&加速库",,"For over 70 years, the Lawrence Livermore National Laboratory has applied science and technology to make the world a safer place.",https://software.llnl.gov,"Livermore, CA, USA",657,repo_known_org.csv
MarBL,https://github.com/marbl,github.com,2,鲲鹏,Canu;meryl,HPC,,Maryland Bioinformatics Labs,,,44,repo_known_org.csv
Nanostructures and Computation Group,https://github.com/NanoComp,github.com,2,鲲鹏,MEEP;MPB,HPC,,,http://math.mit.edu/~stevenj/group,"MIT, Cambridge, MA, USA",11,repo_known_org.csv
Open Source Geospatial Foundation,https://github.com/OSGeo,github.com,2,鲲鹏,GDAL;Proj,基础库&加速库,,Empower everyone with open source geospatial,https://www.osgeo.org,United States of America,44,repo_known_org.csv
Pachter Lab,https://github.com/pachterlab,github.com,2,鲲鹏,kallisto;kallisto+bustools_python,HPC,,,http://pachterlab.github.io,"Pasadena, CA",172,repo_known_org.csv
Quantum ESPRESSO,https://github.com/qef,github.com,2,鲲鹏,QuantumEspresso;Want,"HPC,基础库&加速库",,,http://www.quantum-espresso.org/,,24,repo_known_org.csv
Redis,https://github.com/redis,github.com,2,鲲鹏,Redis;Hiredis,"基础库&加速库,大数据",,,https://redis.io,,69,repo_known_org.csv
RosettaCommons,https://github.com/RosettaCommons,github.com,2,鲲鹏,Rfdiffusion;PyRosetta,HPC,,,https://www.rosettacommons.org,,50,repo_known_org.csv
SPECFEM,https://github.com/SPECFEM,github.com,2,鲲鹏,specfem3d;specfem3d_globe,HPC,,Spectral-element code repositories,https://specfem.org,,12,repo_known_org.csv
Spring,https://github.com/spring-projects,github.com,2,鲲鹏,Spring Framework;Spring Boot,Web,,Spring Projects,https://spring.io/projects,United States of America,80,repo_known_org.csv
Söding Lab,https://github.com/soedinglab,github.com,2,鲲鹏,metaeuk;HH-suite,HPC,,Quantitative and Computational Biology,https://mpinat.mpg.de/soeding,"Goettingen, Germany",57,repo_known_org.csv
U.S. Environmental Protection Agency,https://github.com/USEPA,github.com,2,鲲鹏,CMAQ;SWMM,"HPC,基础库&加速库",,Protecting Human Health and the Environment,https://www.epa.gov,United States of America,680,repo_known_org.csv
Weather Research and Forecasting Model,https://github.com/wrf-model,github.com,2,鲲鹏,WRF;WPS,HPC,,,http://www2.mmm.ucar.edu/wrf/users/,"Boulder, Colorado, USA",16,repo_known_org.csv
ggml,https://github.com/ggml-org,github.com,2,"昇腾,鲲鹏",llama.cpp;llama.cpp（电信/移动）;whisper,"推理加速,搜广推",,AI inference at the edge,https://ggml.ai,,18,"repo_known_org.csv,repo_unknown_org.csv"
grpc,https://github.com/grpc,github.com,2,鲲鹏,grpc-java;grpc,基础库&加速库,,"A high performance, open source, general-purpose RPC framework",https://grpc.io,,31,repo_known_org.csv
modelscope,https://github.com/modelscope,github.com,2,昇腾,DiffSynth-Studio;ModelScope;ms-swift,"推理加速,训练加速",https://github.com/modelscope,Model-as-a-Service in the making: bring accessible AI to all.,https://www.modelscope.cn/,,45,"organization.csv,repo_known_org.csv"
phonopy,https://github.com/phonopy,github.com,2,鲲鹏,phonopy;phono3py,HPC,,,,,5,repo_known_org.csv
ray-project,https://github.com/ray-project,github.com,2,"昇腾,鲲鹏",Ray;kuberay(字节),"推理加速,虚拟化",,,https://docs.ray.io,,124,repo_known_org.csv
samtools,https://github.com/samtools,github.com,2,鲲鹏,bcftools;Samtools,HPC,,,http://samtools.github.io,,16,repo_known_org.csv
sgl-project,https://github.com/sgl-project,github.com,2,"昇腾,鲲鹏",SGLang社区;SpecForge;sglang,"HPC,推理加速,训练加速",https://github.com/sgl-project,,,,26,"organization.csv,repo_known_org.csv"
.NET Platform,https://github.com/dotnet,github.com,1,鲲鹏,.NET Core,Web,,Home of the open source .NET platform,https://dot.net,,277,repo_known_org.csv
3dem,https://github.com/3dem,github.com,1,鲲鹏,Relion,HPC,,,,,20,repo_known_org.csv
3fs,https://github.com/3fs,github.com,1,鲲鹏,3FS(Xsky),分布式存储,,,https://www.3fs.cloud,Sweden,40,repo_known_org.csv
A mirror to other labs,https://github.com/mirror,github.com,1,鲲鹏,busybox,基础库&加速库,,A link between labs if you want to put it that way,,"Unaffiliated with GitHub, Inc.",125,repo_known_org.csv
ABINIT,https://github.com/abinit,github.com,1,鲲鹏,Abinit,HPC,,,https://www.abinit.org,Belgium,52,repo_known_org.csv
AMPL,https://github.com/ampl,github.com,1,鲲鹏,gsl,HPC,,A modeling language for mathematical programming,https://ampl.com,,25,repo_known_org.csv
ANP Open Source Community,https://github.com/agent-network-protocol,github.com,1,昇腾,ANP,应用加速,,The goal of the ANP Open Source Community is to define agent connectivity and collaboration through open source.,www.agent-network-protocol.com,,16,repo_known_org.csv
Abyzov lab,https://github.com/abyzovlab,github.com,1,鲲鹏,CNVnator,HPC,,Software packages developed in Abyzov's lab,http://abyzovlab.org,"Rochester, MN",11,repo_known_org.csv
Agent2Agent (A2A) Project,https://github.com/a2aproject,github.com,1,昇腾,A2A,应用加速,,Donated to the Linux Foundation by Google,https://a2a-protocol.org,,11,repo_known_org.csv
Aiden Lab,https://github.com/aidenlab,github.com,1,鲲鹏,3d-dna,HPC,,The Center for Genome Architecture,http://aidenlab.org/,United States of America,38,repo_known_org.csv
Alliance for Open Media,https://github.com/AOMediaCodec,github.com,1,鲲鹏,libavif(京东),ARM原生,,,https://aomedia.org,,24,repo_known_org.csv
Alluxio,https://github.com/alluxio,github.com,1,鲲鹏,Alluxio,大数据,,,https://www.alluxio.io/,,13,repo_known_org.csv
Amber-MD,https://github.com/Amber-MD,github.com,1,鲲鹏,Amber tools,HPC,,,,,0,repo_unknown_org.csv
Ansible,https://github.com/ansible,github.com,1,鲲鹏,Ansible,基础库&加速库,,,https://www.ansible.com/,United States of America,301,repo_known_org.csv
Axolotl AI,https://github.com/axolotl-ai-cloud,github.com,1,昇腾,axolotl,训练加速,,,https://axolotl.ai,United States of America,18,repo_known_org.csv
Bayesian Evolutionary Analysis Sampling Trees,https://github.com/beast-dev,github.com,1,鲲鹏,BEAST,HPC,,,http://beast.community,,9,repo_known_org.csv
Berkeley Vision and Learning Center,https://github.com/bvlc,github.com,1,鲲鹏,caffe,搜广推,,Autonomous Perception Research,http://bvlc.eecs.berkeley.edu,UC Berkeley,4,repo_known_org.csv
BioD,https://github.com/biod,github.com,1,鲲鹏,sambamba,HPC,,Dlang for bioinformatics,,,5,repo_known_org.csv
Boost.org,https://github.com/boostorg,github.com,1,鲲鹏,Boost,基础库&加速库,,Boost provides free peer-reviewed portable C++ source libraries.,http://libboost.org,Interstellar Space,200,repo_known_org.csv
ByteDance-Seed,https://github.com/ByteDance-Seed,github.com,1,昇腾,VeOmni,训练加速,,,https://seed.bytedance.com/,,54,repo_known_org.csv
COMBINE lab,https://github.com/combine-lab,github.com,1,鲲鹏,salmon,HPC,,COMputational BIology and Network Evolution lab,combine-lab.github.io,University of Maryland,137,repo_known_org.csv
COPASI,https://github.com/copasi,github.com,1,鲲鹏,COPASI,HPC,,,http://www.copasi.org,,22,repo_known_org.csv
CP2K,https://github.com/cp2k,github.com,1,鲲鹏,CP2K,HPC,,,https://www.cp2k.org/,,10,repo_known_org.csv
Canada's Michael Smith Genome Sciences Centre,https://github.com/bcgsc,github.com,1,鲲鹏,Abyss,HPC,,Sequencing Centre for Genomics and Bioinformatics Research,http://www.bcgsc.ca/,"Vancouver, BC, Canada",30,repo_known_org.csv
Car-Parrinello Molecular Dynamics ,https://github.com/CPMD-code,github.com,1,鲲鹏,CPMD,HPC,,,,,7,repo_known_org.csv
Ceph,https://github.com/ceph,github.com,1,鲲鹏,Ceph,分布式存储,,,https://ceph.io/,"California, USA",201,repo_known_org.csv
Chaste - Cancer Heart and Soft Tissue Environment,https://github.com/Chaste,github.com,1,鲲鹏,Chaste,HPC,,C++ library for computational biology and physiology simulations,https://chaste.github.io/,United Kingdom,63,repo_known_org.csv
Cisco Systems,https://github.com/cisco,github.com,1,鲲鹏,OpenH264,ARM应用支持,,Open Source Projects from Cisco Systems,https://cisco.com,,84,repo_known_org.csv
ClickHouse,https://github.com/clickhouse,github.com,1,鲲鹏,ClickHouse,大数据,,,https://clickhouse.com,United States of America,308,repo_known_org.csv
CloudWeGo,https://github.com/cloudwego,github.com,1,鲲鹏,CloudWeGo(字节),虚拟化,,A leading practice for building enterprise-class cloud native architectures!,https://www.cloudwego.io/,,46,repo_known_org.csv
ClusterLabs,https://github.com/clusterlabs,github.com,1,鲲鹏,PaceMaker,基础库&加速库,,,http://www.ClusterLabs.org/,,28,repo_known_org.csv
Coinbase,https://github.com/coinbase,github.com,1,昇腾,X402,应用加速,,,https://www.coinbase.com,,169,repo_known_org.csv
Comfy-Org,https://github.com/Comfy-Org,github.com,1,昇腾,ComfyUI,推理加速,,,,,0,repo_unknown_org.csv
Community Surface Dynamics Modeling System,https://github.com/csdms,github.com,1,鲲鹏,WAVEWATCH III,HPC,,Cyberinfrastructure for the quantitative modeling of earth and planetary surface processes,http://csdms.colorado.edu,,125,repo_known_org.csv
ComparativeGenomicsToolkit,https://github.com/ComparativeGenomicsToolkit,github.com,1,鲲鹏,Cactus,HPC,,,,,32,repo_known_org.csv
CoreDNS,https://github.com/coredns,github.com,1,鲲鹏,CoreDNS,虚拟化,,Cloud Native DNS,https://coredns.io/,,36,repo_known_org.csv
CoreOS,https://github.com/coreos,github.com,1,鲲鹏,Flannel,虚拟化,,"Key components to secure, simplify and automate your container infrastructure",https://getfedora.org/coreos,,275,repo_known_org.csv
CryoEM Software Development,https://github.com/cryoem,github.com,1,鲲鹏,eman2,HPC,,"This is a group for software development of CryoEM packages, initially only EMAN2/SPARX, but we are happy to accept additional projects.",,,24,repo_known_org.csv
CubeFS,https://github.com/cubefs,github.com,1,鲲鹏,Cubefs,分布式存储,,"an open-source, cloud-native file storage hosted by the CNCF",https://cubefs.io,,25,repo_known_org.csv
DAOS Storage Stack,https://github.com/daos-stack,github.com,1,鲲鹏,DAOS,分布式存储,,Distributed Asynchronous Object Storage,https://daosio.atlassian.net/wiki/spaces/DC/,,93,repo_known_org.csv
DPDK,https://github.com/dpdk,github.com,1,鲲鹏,DPDK,基础库&加速库,,Data Plane Development Kit,dpdk.org,,3,repo_known_org.csv
DataJuicer,https://github.com/datajuicer,github.com,1,鲲鹏,data-juicer（腾讯）,大数据,,Data processing for and with large models.,,,8,repo_known_org.csv
Databricks,https://github.com/databricks,github.com,1,昇腾,megablocks,训练加速,,Helping data teams solve the world’s toughest problems using data and AI,https://databricks.com,United States of America,255,repo_known_org.csv
David Reich Lab,https://github.com/dreichlab,github.com,1,鲲鹏,EIGENSOFT,HPC,,,https://reich.hms.harvard.edu/,,12,repo_known_org.csv
DeepModeling,https://github.com/deepmodeling,github.com,1,鲲鹏,DeePMD-kit,HPC,,Define the future of scientific computing together,https://deepmodeling.com,,67,repo_known_org.csv
Deltares,https://oss.deltares.nl/web/delft3d,,1,鲲鹏,DELFT3D,HPC,,,,,0,repo_unknown_org.csv
Dewey Lab,https://github.com/deweylab,github.com,1,鲲鹏,RSEM,HPC,,The research group of Dr. Colin Dewey @ University of Wisconsin-Madison,http://deweylab.biostat.wisc.edu,"Madison, WI",8,repo_known_org.csv
Distributed (Deep) Machine Learning Community,https://github.com/dmlc,github.com,1,昇腾,dgl,训练加速,,A Community of Awesome Machine Learning Projects,,,51,repo_known_org.csv
Django,https://github.com/django,github.com,1,鲲鹏,Django,Web,,,https://www.djangoproject.com/,Internet,30,repo_known_org.csv
E2B | Cloud for AI Agents,https://github.com/e2b-dev,github.com,1,鲲鹏,E2B(字节),虚拟化,,"Open-source, secure environment with real-world tools for enterprise-grade agents.",https://e2b.dev/docs,United States of America,54,repo_known_org.csv
EBI (Birney),https://www.ebi.ac.uk/~birney/wise2,,1,鲲鹏,genewise,HPC,,,,,0,repo_unknown_org.csv
ESPResSo MD,https://github.com/espressomd,github.com,1,鲲鹏,ESPResSOmd,HPC,,,https://espressomd.org,,4,repo_known_org.csv
ESnet: Energy Sciences Network,https://github.com/esnet,github.com,1,鲲鹏,iperf,基础库&加速库,,"ESnet provides the high-bandwidth, reliable connections that link scientists at national laboratories and other research institutions.",https://software.es.net/,"Berkeley, CA",135,repo_known_org.csv
Earth System Community Modeling Portal,https://github.com/escomp,github.com,1,鲲鹏,CESM,HPC,,,https://escomp.github.io/,,71,repo_known_org.csv
Eclipse EE4J,https://github.com/eclipse-ee4j,github.com,1,鲲鹏,Glassfish,Web,,The Eclipse EE4J Project,https://projects.eclipse.org/projects/ee4j,,102,repo_known_org.csv
Eclipse Foundation,https://github.com/eclipse,github.com,1,鲲鹏,Jetty,Web,,,http://eclipse.org,,9,repo_known_org.csv
EleutherAI,https://github.com/EleutherAI,github.com,1,昇腾,lm-eval-harness,推理加速,,,www.eleuther.ai,The Internet,182,repo_known_org.csv
ElmerCSC,https://github.com/ElmerCSC,github.com,1,鲲鹏,Elmer,HPC,,Elmer developer team,http://elmerfem.org/,,17,repo_known_org.csv
Ensembl Project,https://github.com/Ensembl,github.com,1,鲲鹏,VEP,HPC,,,http://www.ensembl.org,EMBL-EBI and Wellcome Trust Sanger Institute,224,repo_known_org.csv
Envoy Proxy - CNCF,https://github.com/envoyproxy,github.com,1,鲲鹏,Envoy,虚拟化,,Envoy Proxy - CNCF,https://www.envoyproxy.io/,,35,repo_known_org.csv
Erlang/OTP,https://github.com/erlang,github.com,1,鲲鹏,Erlang,基础库&加速库,,,http://www.erlang.org,"Stockholm, Sweden",23,repo_known_org.csv
Eventual,https://github.com/Eventual-Inc,github.com,1,鲲鹏,daft（字节）,大数据,,Eventual Computing,https://www.eventualcomputing.com/,United States of America,32,repo_known_org.csv
Expat development team,https://github.com/libexpat,github.com,1,鲲鹏,Expat,基础库&加速库,,,https://libexpat.github.io/,,2,repo_known_org.csv
FFTW,https://github.com/FFTW,github.com,1,鲲鹏,FFTW,基础库&加速库,,,http://www.fftw.org/,,2,repo_known_org.csv
FLA,https://github.com/fla-org,github.com,1,昇腾,flash-linear-attention,训练加速,,,,,13,repo_known_org.csv
FMRIB-Software-Library,https://github.com/FMRIB-Software-Library,github.com,1,鲲鹏,FSL,HPC,,,,,0,repo_unknown_org.csv
Falconry,https://github.com/falconry,github.com,1,鲲鹏,Falcon,HPC,,,http://falconframework.org,,11,repo_known_org.csv
FastCGI-Archives,https://github.com/fastcgi-archives,github.com,1,鲲鹏,fcgi,Web,,FastCGI.com Github Archives,https://fastcgi-archives.github.io/,,5,repo_known_org.csv
Fire Models,https://github.com/firemodels,github.com,1,鲲鹏,FDS,HPC,,open source fire models,,,13,repo_known_org.csv
FlagOS,https://github.com/flagos-ai,github.com,1,昇腾,FlagScale,推理加速,,"A Unified, Open-Source AI System Software Stack",https://flagos.io,China,37,repo_known_org.csv
"GEOS -- Geometry Engine, Open Source",https://github.com/libgeos,github.com,1,鲲鹏,Geos,基础库&加速库,,GEOS is a library for computational geometry operations used in geospatial systems.,https://libgeos.org,,2,repo_known_org.csv
GNOME Github Mirror,https://github.com/gnome,github.com,1,鲲鹏,Libxml2,基础库&加速库,,Contributions sent to this organization will be forwarded automatically to https://gitlab.gnome.org,https://handbook.gnome.org/infrastructure/github_mirror.html,United States of America,322,repo_known_org.csv
GNU (gnutools),https://github.com/gnutools,github.com,1,鲲鹏,GDB,基础库&加速库,,,,,0,repo_unknown_org.csv
GNU MPFR (INRIA),https://gitlab.inria.fr/mpfr,gitlab.inria.fr,1,鲲鹏,MPFR,基础库&加速库,,,,,0,repo_unknown_org.csv
GNU Project,https://gmplib.org,,1,鲲鹏,GMP,基础库&加速库,,,,,0,repo_unknown_org.csv
GNU Project,https://www.multiprecision.org,,1,鲲鹏,libmpc,基础库&加速库,,,,,0,repo_unknown_org.csv
GPUStack,https://github.com/gpustack,github.com,1,昇腾,GPUStack,推理加速,,GPU cluster manager for optimized AI model deployment,,,15,repo_known_org.csv
Gaius-Augustus,https://github.com/Gaius-Augustus,github.com,1,鲲鹏,Augustus,HPC,,,,,21,repo_known_org.csv
Geant4,https://github.com/Geant4,github.com,1,鲲鹏,Geant4,HPC,,Geant4 toolkit for the simulation of the passage of particles through matter - NIM A 506 (2003) 250-303 - NIM A 835 (2016) 186-225,http://geant4.org,,1,repo_known_org.csv
Git,https://github.com/git,github.com,1,鲲鹏,Git,基础库&加速库,,,https://git-scm.com,,9,repo_known_org.csv
Gluster.org,https://github.com/gluster,github.com,1,鲲鹏,GlusterFS,分布式存储,,"Gluster is a software defined storage, which you can use for high-availability and other features as storage in Hybrid Cloud, Containers, or as NAS replacement.",https://www.gluster.org,,107,repo_known_org.csv
Go,https://github.com/golang,github.com,1,鲲鹏,Golang,基础库&加速库,,The Go Programming Language,https://go.dev,,61,repo_known_org.csv
Google Agentic Commerce,https://github.com/google-agentic-commerce,github.com,1,昇腾,AP2,应用加速,,,https://ap2-protocol.org,United States of America,2,repo_known_org.csv
Google DeepMind,https://github.com/google-deepmind,github.com,1,鲲鹏,AlphaFold2,HPC,,,https://www.deepmind.com/,,382,repo_known_org.csv
Gradle Technologies,https://github.com/gradle,github.com,1,鲲鹏,Gradle,基础库&加速库,,,https://gradle.com,,249,repo_known_org.csv
Grafana Labs,https://github.com/grafana,github.com,1,鲲鹏,Grafana,基础库&加速库,,"Grafana Labs is behind leading open source projects Grafana and Loki, and the creator of the first open & composable observability platform.",https://grafana.com,Sweden,981,repo_known_org.csv
Gromacs,https://github.com/gromacs,github.com,1,鲲鹏,GROMACS,HPC,,,www.gromacs.org,,7,repo_known_org.csv
HAProxy,https://github.com/haproxy,github.com,1,鲲鹏,HAProxy,Web,,The HAProxy Community,http://haproxy.org/,,7,repo_known_org.csv
HPC-AI Tech,https://github.com/hpcaitech,github.com,1,昇腾,ColossalAI,推理加速,,We are a global team to help you train and deploy your AI models,https://hpc-ai.com/,,33,repo_known_org.csv
HYCOM.org,https://github.com/HYCOM,github.com,1,鲲鹏,HYCOM,HPC,,HYbrid Coordinate Ocean Model,https://hycom.org/hycom/overview,"Tallahassee, FL",6,repo_known_org.csv
Harbor,https://github.com/goharbor,github.com,1,鲲鹏,harbor,虚拟化,,"An open source registry that secures artifacts with policies and RBAC, ensures images are scanned and free from vulnerabilities, and signs images as trusted.",https://goharbor.io,,28,repo_known_org.csv
HashiCorp,https://github.com/hashicorp,github.com,1,鲲鹏,consul,基础库&加速库,,"Consistent workflows to provision, secure, connect, and run any infrastructure for any application.",https://hashicorp.com,"San Francisco, CA",930,repo_known_org.csv
Hello World Foundation,https://github.com/fmtlib,github.com,1,鲲鹏,fmt,基础库&加速库,,,,United States,5,repo_known_org.csv
Hewlett Packard Enterprise,https://github.com/hewlettpackard,github.com,1,鲲鹏,Netperf,基础库&加速库,,Hewlett Packard Enterprise on github; please contact github@hpe.com for access,http://www.hpe.com,,481,repo_known_org.csv
Horovod,https://github.com/horovod,github.com,1,鲲鹏,horovod,搜广推,,"Distributed training framework for TensorFlow, Keras, PyTorch, and Apache MXNet.",https://horovod.ai/,"San Francisco, CA",4,repo_known_org.csv
Idaho National Laboratory,https://github.com/idaholab,github.com,1,鲲鹏,Moose Framework,HPC,,Open Source Software From Idaho National Laboratory,https://inl.gov,"Idaho, US",159,repo_known_org.csv
Istio,https://github.com/istio,github.com,1,鲲鹏,lstio,虚拟化,,"Connect, secure, control, and observe services.",https://istio.io,,41,repo_known_org.csv
JD.com,https://github.com/jd-opensource,github.com,1,昇腾,xllm,推理加速,,JD Open Source,https://www.jdcloud.com,China,116,repo_known_org.csv
JGI (DOE),https://jgi.doe.gov,,1,鲲鹏,Meraculous,HPC,,,,,0,repo_unknown_org.csv
JUnit,https://github.com/junit-team,github.com,1,鲲鹏,JUnit,基础库&加速库,,The programmer-friendly testing framework for Java and the JVM,https://junit.org,,18,repo_known_org.csv
Jefferson Lab,https://github.com/JeffersonLab,github.com,1,鲲鹏,Chroma,HPC,,,http://www.jlab.org/,,674,repo_known_org.csv
Jenkins,https://github.com/jenkinsci,github.com,1,鲲鹏,Jenkins,基础库&加速库,,Jenkins is an open source automation server with an unparalleled plugin ecosystem to support practically every tool as part of your delivery pipelines,www.jenkins.io,United States of America,2731,repo_known_org.csv
KServe,https://github.com/kserve,github.com,1,昇腾,Kserver,推理加速,,"Standardized Distributed Generative and Predictive AI Inference Platform for Scalable, Multi-Framework Deployment on Kubernetes",https://kserve.github.io/website,,15,repo_known_org.csv
Karypis Lab @ UMN-CS&E,https://github.com/KarypisLab,github.com,1,鲲鹏,Metis,基础库&加速库,,Used to distribute software developed by Prof. George Karypis' research group,https://karypis.github.io/,"Minneapolis, MN, 55455",11,repo_known_org.csv
Kata Containers,https://github.com/kata-containers,github.com,1,鲲鹏,kata-containers(京东/腾讯),虚拟化,,"The speed of containers, the security of VMs",https://katacontainers.io,,32,repo_known_org.csv
"Kitware, Inc.",https://github.com/kitware,github.com,1,鲲鹏,CMake,基础库&加速库,,"Kitware develops software for web visualization, data storage, build system generation, infovis, media analysis, biomedical inquiry, cloud computing and more.",https://www.kitware.com,,275,repo_known_org.csv
